ID,FIELD
IT\ICCU\MSM\0004131,"Lo conosco, lo sento nel cuore"
IT\ICCU\MSM\0004132,Morir ciel qual concento
IT\ICCU\MSM\0004133,Morir ciel qual concento
IT\ICCU\MSM\0004134,Morir ciel qual concento
IT\ICCU\MSM\0004135,Tu fremi?
IT\ICCU\MSM\0004136,Tutto è compiuto alfin
IT\ICCU\MSM\0001827,Introito
IT\ICCU\MSM\0001837,Introito
IT\ICCU\MSM\0001838,Introito
IT\ICCU\MSM\0001839,Gavotte et musette
IT\ICCU\MSM\0001844,Introito
IT\ICCU\MSM\0001845,Introito
IT\ICCU\MSM\0001977,Se un core annodi
IT\ICCU\MSM\0001994,Sancio caro fermo in groppa
IT\ICCU\MSM\0001995,"Piano, piano miei Signori"
IT\ICCU\MSM\0002136,A TE D'APPRESSO L'ANIMA
IT\ICCU\MSM\0002137,"SI, FRA LE POMPE E IL GAUDIO"
IT\ICCU\MSM\0002138,SUL VUOTO LETTO
IT\ICCU\MSM\0002139,"PIANGI, SI PIANGI O STEFANO"
IT\ICCU\MSM\0002153,Sorta ancora non era l'aurora
IT\ICCU\MSM\0002323,Sinfonia ...
IT\ICCU\MSM\0002325,Ah che forse in tai momenti
IT\ICCU\MSM\0002814,Adagio sostenuto
IT\ICCU\MSM\0002826,Sciogli o cara un dolce riso
IT\ICCU\MSM\0002827,Cara deh prendi in pace
IT\ICCU\MSM\0002828,"Parto, ma il cor mi trema"
IT\ICCU\MSM\0002829,Deh s'affretti astri tiranni
IT\ICCU\MSM\0002830,Superbo di me stesso
IT\ICCU\MSM\0002831,"Se cerca, Se dice"
IT\ICCU\MSM\0000337,Scelta]
IT\ICCU\MSM\0000338,Passi avanti favorisca
IT\ICCU\MSM\0000339,Ecco l'amato oggetto
IT\ICCU\MSM\0000340,Ecco il mio buon discepolo
IT\ICCU\MSM\0000341,Perchè da me non viene
IT\ICCU\MSM\0000342,"Taci, non più baldanza"
IT\ICCU\MSM\0000343,Vi lascio ingrate mura
IT\ICCU\MSM\0000352,Parte Prima
IT\ICCU\MSM\0003469,Suscepit Israel
IT\ICCU\MSM\0003622,"*Elena! oh tu, ch'io chiamo"
IT\ICCU\MSM\0003623,Una voce m['] ha colpito
IT\ICCU\MSM\0003624,Sinfonia ...
IT\ICCU\MSM\0003625,Coro
IT\ICCU\MSM\0003799,S'affretta il pellegrino
IT\ICCU\MSM\0003800,Del destin non vi lagnate
IT\ICCU\MSM\0004107,? aria]
IT\ICCU\MSM\0004108,Questo core a te donai
IT\ICCU\MSM\0004122,All'età dell'innocenza
IT\ICCU\MSM\0004123,"Caro padre, caro bene"
IT\ICCU\MSM\0004124,"Spada, pianin, pianino"
IT\ICCU\MSM\0004125,duetto
IT\ICCU\MSM\0004126,Eccellenza se sapeste
IT\ICCU\MSM\0001828,Introito
IT\ICCU\MSM\0001829,Introito
IT\ICCU\MSM\0001830,Introito
IT\ICCU\MSM\0001831,Introito
IT\ICCU\MSM\0001832,walzer
IT\ICCU\MSM\0001833,Introito
IT\ICCU\MSM\0001834,Introito
IT\ICCU\MSM\0001835,Introito
IT\ICCU\MSM\0001968,Passami pure il seno
IT\ICCU\MSM\0001978,Ti lascio al ben che adori
IT\ICCU\MSM\0001979,La dolce compagna
IT\ICCU\MSM\0001980,In qual barbaro momento
IT\ICCU\MSM\0001981,Quest'amplesso e quest'addio
IT\ICCU\MSM\0001982,Sognando...
IT\ICCU\MSM\0001983,Deponi eroe fortissimo
IT\ICCU\MSM\0001984,Guerrier macedone
IT\ICCU\MSM\0001985,Lo trovai per accidente
IT\ICCU\MSM\0002126,Quando le luci languide
IT\ICCU\MSM\0002303,Quest'acciaro
IT\ICCU\MSM\0002304,Io di tutto mi contento
IT\ICCU\MSM\0002313,SE TI PERDO AMATO OGGETTO
IT\ICCU\MSM\0002815,"Deh, con te con te li prendi"
IT\ICCU\MSM\0002816,Tu vedrai la sventurata
IT\ICCU\MSM\0002817,Pezzi scelti
IT\ICCU\MSM\0002818,Introduzione.
